,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
10,Tom Pettersson,"$ 6,250","$ 325,000",CB,31,Starter,"Dec 31, 2021",1-yr,"$ 325,000",FC Cincinnati,Mls,2021
11,Álvaro Barreal,"$ 5,769","$ 300,000",LW,20,Starter,"Dec 31, 2021",1-yr,"$ 300,000",FC Cincinnati,Mls,2021
12,Franko Kovacevic,"$ 5,423","$ 282,000",CF,21,Reserve,"Jun 30, 2021",1-yr,"$ 282,000",FC Cincinnati,Mls,2021
13,Joseph-Claude Gyau,"$ 5,250","$ 273,000",LW,28,Starter,"Dec 31, 2021",1-yr,"$ 273,000",FC Cincinnati,Mls,2021
14,Przemyslaw Tyton,"$ 5,048","$ 262,500",GK,34,Starter,"Dec 31, 2021",1-yr,"$ 262,500",FC Cincinnati,Mls,2021
15,Isaac Atanga,"$ 4,981","$ 259,000",RW,20,Reserve,"Dec 31, 2023",3-yrs,"$ 777,000",FC Cincinnati,Mls,2021
16,Gustavo Vallecilla,"$ 4,846","$ 252,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 252,000",FC Cincinnati,Mls,2021
17,Brandon Vázquez,"$ 4,808","$ 250,000",CF,22,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",FC Cincinnati,Mls,2021
18,Caleb Stanko,"$ 4,038","$ 210,000",DM,27,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",FC Cincinnati,Mls,2021
19,Nick Hagglund,"$ 3,365","$ 175,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 175,000",FC Cincinnati,Mls,2021
20,Edgar Castillo,"$ 2,327","$ 121,000",LB,34,Reserve,"Dec 31, 2021",1-yr,"$ 121,000",FC Cincinnati,Mls,2021
21,Cody Cropper,"$ 1,565","$ 81,375",GK,28,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",FC Cincinnati,Mls,2021
22,Calvin Harris,"$ 1,565","$ 81,375",LW,21,Starter,"Dec 31, 2021",1-yr,"$ 81,375",FC Cincinnati,Mls,2021
23,Ben Mines,"$ 1,565","$ 81,375",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",FC Cincinnati,Mls,2021
24,Zico Bailey,"$ 1,283","$ 66,724",RB,20,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",FC Cincinnati,Mls,2021
25,Avionne Flanagan,"$ 1,222","$ 63,547",CB,22,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",FC Cincinnati,Mls,2021
26,Beckham Sunderland,"$ 1,222","$ 63,547",GK,17,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",FC Cincinnati,Mls,2021
27,Geoff Cameron,$ 0,$ 0,DM,35,Reserve,"Dec 31, 2022",2-yrs,$ 0,FC Cincinnati,Mls,2021
0,Franco Jara,"$ 44,038","$ 2,290,000",CF,32,Starter,"Dec 31, 2021",1-yr,"$ 2,290,000",FC Dallas,Mls,2021
1,Matt Hedges,"$ 16,346","$ 850,000",CB,31,Starter,"Dec 31, 2021",1-yr,"$ 850,000",FC Dallas,Mls,2021
2,Bryan Acosta,"$ 12,500","$ 650,000",CM,27,Starter,"Dec 31, 2021",1-yr,"$ 650,000",FC Dallas,Mls,2021
3,José Antonio Martínez,"$ 11,538","$ 600,000",CB,28,Starter,"Dec 31, 2023",3-yrs,"$ 1,800,000",FC Dallas,Mls,2021
4,Paxton Pomykal,"$ 11,538","$ 600,000",AM,21,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",FC Dallas,Mls,2021
5,Jesús Ferreira,"$ 10,577","$ 550,000",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 550,000",FC Dallas,Mls,2021
6,Bressan,"$ 10,308","$ 536,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 536,000",FC Dallas,Mls,2021
7,Andrés Ricaurte,"$ 8,654","$ 450,000",AM,29,Reserve,"Dec 31, 2021",1-yr,"$ 450,000",FC Dallas,Mls,2021
8,Jáder Obrian,"$ 6,923","$ 360,000",RW,25,Starter,"Dec 31, 2023",3-yrs,"$ 1,080,000",FC Dallas,Mls,2021
9,Ryan Hollingshead,"$ 6,663","$ 346,500",LB,30,Starter,"Dec 31, 2021",1-yr,"$ 346,500",FC Dallas,Mls,2021
10,Ema Twumasi,"$ 3,846","$ 200,000",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",FC Dallas,Mls,2021
11,Freddy Vargas,"$ 3,077","$ 160,000",LW,22,Starter,"Dec 31, 2021",1-yr,"$ 160,000",FC Dallas,Mls,2021
12,Jimmy Maurer,"$ 3,041","$ 158,125",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 158,125",FC Dallas,Mls,2021
13,Thomas Roberts,"$ 2,885","$ 150,000",CM,20,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",FC Dallas,Mls,2021
14,Phelipe,"$ 2,885","$ 150,000",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",FC Dallas,Mls,2021
15,John Nelson,"$ 2,212","$ 115,000",LB,22,Starter,"Dec 31, 2021",1-yr,"$ 115,000",FC Dallas,Mls,2021
16,Tanner Tessmann,"$ 2,212","$ 115,000",CM,19,Starter,"Dec 31, 2022",2-yrs,"$ 230,000",FC Dallas,Mls,2021
17,Dante Sealy,"$ 1,923","$ 100,000",LW,18,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",FC Dallas,Mls,2021
18,Edwin Cerrillo,"$ 1,827","$ 95,000",DM,20,Reserve,"Dec 31, 2021",1-yr,"$ 95,000",FC Dallas,Mls,2021
19,Ricardo Pepi,"$ 1,731","$ 90,000",CF,18,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",FC Dallas,Mls,2021
20,Kyle Zobeck,"$ 1,643","$ 85,444",GK,31,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",FC Dallas,Mls,2021
21,Nkosi Burgess,"$ 1,283","$ 66,724",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",FC Dallas,Mls,2021
22,Eddie Munjoma,"$ 1,283","$ 66,724",RB,22,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",FC Dallas,Mls,2021
23,Beni Redzic,"$ 1,222","$ 63,547",LW,18,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",FC Dallas,Mls,2021
24,Kalil ElMedkhar,"$ 1,222","$ 63,547",LW,21,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",FC Dallas,Mls,2021
25,Szabolcs Schön,$ 0,$ 0,LW,20,Reserve,"Dec 31, 2023",3-yrs,$ 0,FC Dallas,Mls,2021
0,Darwin Quintero,"$ 26,001","$ 1,352,055",LW,33,Reserve,"Dec 31, 2021",1-yr,"$ 1,352,055",Houston Dynamo,Mls,2021
1,Maximiliano Urruti,"$ 21,849","$ 1,136,127",CF,30,Starter,"Dec 31, 2021",1-yr,"$ 1,136,127",Houston Dynamo,Mls,2021
2,Tim Parker,"$ 16,119","$ 838,200",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 838,200",Houston Dynamo,Mls,2021
3,Christian Ramirez,"$ 14,904","$ 775,000",CF,30,Reserve,"Dec 31, 2021",1-yr,"$ 775,000",Houston Dynamo,Mls,2021
4,Fafà Picault,"$ 9,615","$ 500,000",LW,30,Starter,"Dec 31, 2021",1-yr,"$ 500,000",Houston Dynamo,Mls,2021
5,Marko Maric,"$ 8,942","$ 465,000",GK,25,Starter,"Dec 31, 2021",1-yr,"$ 465,000",Houston Dynamo,Mls,2021
6,Matías Vera,"$ 6,731","$ 350,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Houston Dynamo,Mls,2021
7,Adam Lundqvist,"$ 6,250","$ 325,000",LB,27,Starter,"Dec 31, 2022",2-yrs,"$ 650,000",Houston Dynamo,Mls,2021
8,Joe Corona,"$ 5,288","$ 275,000",CM,30,Starter,"Dec 31, 2021",1-yr,"$ 275,000",Houston Dynamo,Mls,2021
9,Memo Rodríguez,"$ 5,096","$ 265,000",LM,25,Starter,"Dec 31, 2021",1-yr,"$ 265,000",Houston Dynamo,Mls,2021
10,Mateo Bajamich,"$ 5,077","$ 264,000",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 264,000",Houston Dynamo,Mls,2021
11,Zarek Valentin,"$ 4,808","$ 250,000",RB,29,Starter,"Dec 31, 2022",2-yrs,"$ 500,000",Houston Dynamo,Mls,2021
12,José Bizama,"$ 4,327","$ 225,000",RB,26,Reserve,"Dec 31, 2021",1-yr,"$ 225,000",Houston Dynamo,Mls,2021
13,Ariel Lassiter,"$ 4,038","$ 210,000",LW,26,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",Houston Dynamo,Mls,2021
14,Darwin Cerén,"$ 3,760","$ 195,500",DM,31,Reserve,"Dec 31, 2021",1-yr,"$ 195,500",Houston Dynamo,Mls,2021
15,Alejandro Fuenmayor,"$ 3,654","$ 190,008",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 190,008",Houston Dynamo,Mls,2021
16,Derrick Jones,"$ 3,077","$ 160,000",CM,24,Starter,"Dec 31, 2021",1-yr,"$ 160,000",Houston Dynamo,Mls,2021
17,Maynor Figueroa,"$ 2,885","$ 150,000",CB,38,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Houston Dynamo,Mls,2021
18,Tyler Pasher,"$ 2,885","$ 150,000",CF,27,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Houston Dynamo,Mls,2021
19,Daniel Rios,"$ 2,692","$ 140,000",AM,18,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Houston Dynamo,Mls,2021
20,Michael Nelson,"$ 1,643","$ 85,444",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Houston Dynamo,Mls,2021
21,Ethan Bartlow,"$ 1,565","$ 81,375",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
22,Boniek García,"$ 1,565","$ 81,375",CM,36,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
23,Sam Junqua,"$ 1,565","$ 81,375",LB,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
24,Kyle Morton,"$ 1,565","$ 81,375",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Houston Dynamo,Mls,2021
25,Nico Lemoine,"$ 1,283","$ 66,724",RM,21,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Houston Dynamo,Mls,2021
26,Ian Hoffmann,"$ 1,222","$ 63,547",CM,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Houston Dynamo,Mls,2021
27,Juan Castilla,"$ 1,222","$ 63,547",CM,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Houston Dynamo,Mls,2021
0,Gonzalo Higuaín,"$ 98,077","$ 5,100,000",CF,33,Starter,"Dec 31, 2022",2-yrs,"$ 10,200,000",Inter Miami,Mls,2021
1,Rodolfo Pizarro,"$ 58,654","$ 3,050,000",AM,27,Starter,"Dec 31, 2021",1-yr,"$ 3,050,000",Inter Miami,Mls,2021
2,Blaise Matuidi,"$ 28,846","$ 1,500,000",CM,34,Starter,"Dec 31, 2021",1-yr,"$ 1,500,000",Inter Miami,Mls,2021
3,Leandro González Pírez,"$ 16,346","$ 849,996",CB,29,Starter,"Dec 31, 2021",1-yr,"$ 849,996",Inter Miami,Mls,2021
4,Julián Carranza,"$ 14,423","$ 750,000",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 750,000",Inter Miami,Mls,2021
5,Jorge Figal,"$ 11,538","$ 600,000",CB,27,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",Inter Miami,Mls,2021
6,Gregore,"$ 10,577","$ 550,000",DM,27,Starter,"Dec 31, 2024",4-yrs,"$ 2,200,000",Inter Miami,Mls,2021
7,Lewis Morgan,"$ 10,577","$ 550,000",LM,24,Starter,"Dec 31, 2021",1-yr,"$ 550,000",Inter Miami,Mls,2021
8,Ryan Shawcross,"$ 5,769","$ 300,000",CB,33,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Inter Miami,Mls,2021
9,Víctor Ulloa,"$ 4,231","$ 220,000",DM,29,Reserve,"Dec 31, 2021",1-yr,"$ 220,000",Inter Miami,Mls,2021
10,Kelvin Leerdam,"$ 3,462","$ 180,000",RB,30,Starter,"Dec 31, 2023",3-yrs,"$ 540,000",Inter Miami,Mls,2021
11,Joevin Jones,"$ 3,462","$ 180,000",LB,29,Starter,"Dec 31, 2022",2-yrs,"$ 360,000",Inter Miami,Mls,2021
12,Christian Makoun,"$ 3,365","$ 175,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 175,000",Inter Miami,Mls,2021
13,Jay Chapman,"$ 3,221","$ 167,500",CM,27,Reserve,"Dec 31, 2021",1-yr,"$ 167,500",Inter Miami,Mls,2021
14,Brek Shea,"$ 2,596","$ 135,000",LM,31,Reserve,"Dec 31, 2021",1-yr,"$ 135,000",Inter Miami,Mls,2021
15,John McCarthy,"$ 2,500","$ 130,000",GK,28,Starter,"Dec 31, 2021",1-yr,"$ 130,000",Inter Miami,Mls,2021
16,Robbie Robinson,"$ 2,404","$ 125,000",CF,22,Starter,"Dec 31, 2021",1-yr,"$ 125,000",Inter Miami,Mls,2021
17,Drake Callender,"$ 2,308","$ 120,000",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 120,000",Inter Miami,Mls,2021
18,George Acosta,"$ 1,565","$ 81,375",AM,21,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Inter Miami,Mls,2021
19,Federico Higuaín,"$ 1,565","$ 81,375",AM,36,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Inter Miami,Mls,2021
20,Dylan Castanheira,"$ 1,565","$ 81,375",GK,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Inter Miami,Mls,2021
21,Edison Azcona,"$ 1,222","$ 63,547",LW,17,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
22,Josh Penn,"$ 1,222","$ 63,547",LW,20,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
23,Ian Fray,"$ 1,222","$ 63,547",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
24,Felipe Valencia,"$ 1,222","$ 63,547",RW,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Inter Miami,Mls,2021
25,Sami Guediri,$ 0,$ 0,LB,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Inter Miami,Mls,2021
0,Carlos Vela,"$ 86,538","$ 4,500,000",RW,32,Reserve,"Dec 31, 2021",1-yr,"$ 4,500,000",La FC,Mls,2021
1,Diego Rossi,"$ 19,231","$ 1,000,000",LW,23,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",La FC,Mls,2021
2,Eduard Atuesta,"$ 10,577","$ 550,000",DM,23,Starter,"Dec 31, 2022",2-yrs,"$ 1,100,000",La FC,Mls,2021
3,Moon-hwan Kim,"$ 9,615","$ 500,000",RB,25,Reserve,"Dec 31, 2021",1-yr,"$ 500,000",La FC,Mls,2021
4,Diego Palacios,"$ 8,308","$ 432,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 432,000",La FC,Mls,2021
5,Francisco Ginella,"$ 8,173","$ 425,000",DM,22,Reserve,"Dec 31, 2023",3-yrs,"$ 1,275,000",La FC,Mls,2021
6,Jesús Murillo,"$ 7,692","$ 400,000",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 400,000",La FC,Mls,2021
7,José Cifuentes,"$ 7,075","$ 367,875",DM,22,Reserve,"Dec 31, 2022",2-yrs,"$ 735,750",La FC,Mls,2021
8,Corey Baird,"$ 7,019","$ 365,000",CF,25,Starter,"Dec 31, 2023",3-yrs,"$ 1,095,000",La FC,Mls,2021
9,Latif Blessing,"$ 6,923","$ 360,000",AM,24,Starter,"Dec 31, 2022",2-yrs,"$ 720,000",La FC,Mls,2021
10,Mark-Anthony Kaye,"$ 4,531","$ 235,625",CM,26,Starter,"Dec 31, 2021",1-yr,"$ 235,625",La FC,Mls,2021
11,Eddie Segura,"$ 3,846","$ 200,000",CB,24,Starter,"Dec 31, 2021",1-yr,"$ 200,000",La FC,Mls,2021
12,Tristan Blackmon,"$ 3,712","$ 193,000",RB,24,Starter,"Dec 31, 2022",2-yrs,"$ 386,000",La FC,Mls,2021
13,Marco Farfán,"$ 3,654","$ 190,000",LB,22,Reserve,"Dec 31, 2021",1-yr,"$ 190,000",La FC,Mls,2021
14,Pablo Sisniega,"$ 2,885","$ 150,000",GK,25,Starter,"Dec 31, 2021",1-yr,"$ 150,000",La FC,Mls,2021
15,Jordan Harvey,"$ 2,115","$ 110,000",LB,37,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",La FC,Mls,2021
16,Raheem Edwards,"$ 1,853","$ 96,375",LW,25,Reserve,"Dec 31, 2021",1-yr,"$ 96,375",La FC,Mls,2021
17,Mohamed Traore,"$ 1,759","$ 91,444",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 91,444",La FC,Mls,2021
18,Erik Dueñas,"$ 1,739","$ 90,444",RB,16,Reserve,"Dec 31, 2021",1-yr,"$ 90,444",La FC,Mls,2021
19,Bryce Duke,"$ 1,731","$ 90,000",CM,20,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",La FC,Mls,2021
20,Danny Musovski,"$ 1,643","$ 85,444",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",La FC,Mls,2021
21,Tomás Romero,"$ 1,565","$ 81,375",GK,20,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
22,Kwadwo Opoku,"$ 1,565","$ 81,375",CF,19,Starter,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
23,Antonio Leone,"$ 1,565","$ 81,375",CB,17,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
24,Cal Jennings,"$ 1,565","$ 81,375",CF,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La FC,Mls,2021
25,Christian Torres,"$ 1,533","$ 79,738",LW,17,Reserve,"Dec 31, 2021",1-yr,"$ 79,738",La FC,Mls,2021
26,Álvaro Quezada,$ 0,$ 0,CF,22,Reserve,"Dec 31, 2021",1-yr,$ 0,La FC,Mls,2021
0,Chicharito,"$ 115,385","$ 6,000,000",CF,32,Starter,"Dec 31, 2021",1-yr,"$ 6,000,000",La Galaxy,Mls,2021
1,Jonathan dos Santos,"$ 38,462","$ 2,000,000",CM,31,Starter,"Dec 31, 2021",1-yr,"$ 2,000,000",La Galaxy,Mls,2021
2,Kévin Cabral,"$ 27,692","$ 1,440,000",LW,21,Reserve,"Dec 31, 2026",6-yrs,"$ 8,640,000",La Galaxy,Mls,2021
3,Giancarlo González,"$ 16,346","$ 850,000",CB,33,Reserve,"Dec 31, 2021",1-yr,"$ 850,000",La Galaxy,Mls,2021
4,Samuel Grandsir,"$ 16,346","$ 850,000",RW,24,Starter,"Dec 31, 2023",3-yrs,"$ 2,550,000",La Galaxy,Mls,2021
5,Sebastian Lletget,"$ 15,385","$ 800,000",CM,28,Starter,"Dec 31, 2021",1-yr,"$ 800,000",La Galaxy,Mls,2021
6,Derrick Williams,"$ 14,423","$ 750,000",CB,28,Starter,"Dec 31, 2022",2-yrs,"$ 1,500,000",La Galaxy,Mls,2021
7,Jorge Villafaña,"$ 8,654","$ 450,000",LB,31,Starter,"Dec 31, 2021",1-yr,"$ 450,000",La Galaxy,Mls,2021
8,Jonathan Bond,"$ 8,654","$ 450,000",GK,27,Starter,"Dec 31, 2021",1-yr,"$ 450,000",La Galaxy,Mls,2021
9,Víctor Vázquez,"$ 7,692","$ 400,000",AM,34,Starter,"Dec 31, 2021",1-yr,"$ 400,000",La Galaxy,Mls,2021
10,Daniel Steres,"$ 7,212","$ 375,000",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 375,000",La Galaxy,Mls,2021
11,Sacha Kljestan,"$ 4,757","$ 247,350",AM,35,Reserve,"Dec 31, 2021",1-yr,"$ 247,350",La Galaxy,Mls,2021
12,Julian Araujo,"$ 2,692","$ 140,000",RB,19,Starter,"Dec 31, 2021",1-yr,"$ 140,000",La Galaxy,Mls,2021
13,Oniel Fisher,"$ 2,692","$ 140,000",RB,29,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",La Galaxy,Mls,2021
14,Danilo Acosta,"$ 2,596","$ 135,000",LB,23,Reserve,"Dec 31, 2021",1-yr,"$ 135,000",La Galaxy,Mls,2021
15,Ethan Zubak,"$ 2,500","$ 130,000",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 130,000",La Galaxy,Mls,2021
16,Jonathan Pérez,"$ 2,404","$ 125,000",LW,18,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",La Galaxy,Mls,2021
17,Efraín Álvarez,"$ 2,115","$ 110,004",AM,18,Reserve,"Dec 31, 2021",1-yr,"$ 110,004",La Galaxy,Mls,2021
18,Cameron Dunbar,"$ 1,923","$ 100,000",RW,18,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",La Galaxy,Mls,2021
19,Marcus Ferkranus,"$ 1,731","$ 90,000",CB,18,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",La Galaxy,Mls,2021
20,Jalen Neal,"$ 1,731","$ 90,000",CB,17,Reserve,"Dec 31, 2021",1-yr,"$ 90,000",La Galaxy,Mls,2021
21,Justin vom Steeg,"$ 1,643","$ 85,444",GK,24,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",La Galaxy,Mls,2021
22,Kai Koreniuk,"$ 1,643","$ 85,444",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",La Galaxy,Mls,2021
23,Jonathan Klinsmann,"$ 1,565","$ 81,375",GK,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
24,Carlos Harvey,"$ 1,565","$ 81,375",DM,21,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
25,Eric López,"$ 1,565","$ 81,375",GK,22,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
26,Adam Saldaña,"$ 1,565","$ 81,375",CM,19,Starter,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
27,Nick DePuy,"$ 1,565","$ 81,375",CB,26,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",La Galaxy,Mls,2021
28,Séga Coulibaly,$ 0,$ 0,CB,24,Reserve,"Dec 31, 2022",2-yrs,$ 0,La Galaxy,Mls,2021
29,Augustine Williams,$ 0,$ 0,CF,23,Reserve,"Dec 31, 2021",1-yr,$ 0,La Galaxy,Mls,2021
0,Robin Lod,"$ 16,346","$ 849,996",LM,28,Starter,"Dec 31, 2021",1-yr,"$ 849,996",Minnesota United,Mls,2021
1,Ramón Ábila,"$ 15,385","$ 800,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 800,000",Minnesota United,Mls,2021
2,Emanuel Reynoso,"$ 14,423","$ 750,000",AM,25,Starter,"Dec 31, 2023",3-yrs,"$ 2,250,000",Minnesota United,Mls,2021
3,Jan Gregus,"$ 14,423","$ 750,000",CM,30,Reserve,"Dec 31, 2021",1-yr,"$ 750,000",Minnesota United,Mls,2021
4,Wil Trapp,"$ 14,375","$ 747,500",DM,28,Starter,"Dec 31, 2021",1-yr,"$ 747,500",Minnesota United,Mls,2021
5,Bakaye Dibassy,"$ 12,019","$ 625,000",CB,31,Reserve,"Dec 31, 2021",1-yr,"$ 625,000",Minnesota United,Mls,2021
6,Ike Opara,"$ 11,538","$ 600,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 600,000",Minnesota United,Mls,2021
7,Romain Métanire,"$ 11,538","$ 600,000",RB,31,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Minnesota United,Mls,2021
8,Ethan Finlay,"$ 8,654","$ 450,000",RW,30,Starter,"Dec 31, 2021",1-yr,"$ 450,000",Minnesota United,Mls,2021
9,Tyler Miller,"$ 7,692","$ 400,000",GK,28,Reserve,"Dec 31, 2022",2-yrs,"$ 800,000",Minnesota United,Mls,2021
10,Michael Boxall,"$ 7,385","$ 384,000",CB,32,Starter,"Dec 31, 2021",1-yr,"$ 384,000",Minnesota United,Mls,2021
11,Osvaldo Alonso,"$ 5,769","$ 300,000",DM,35,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Minnesota United,Mls,2021
12,Jukka Raitala,"$ 5,481","$ 285,000",LB,32,Starter,"Dec 31, 2021",1-yr,"$ 285,000",Minnesota United,Mls,2021
13,Juan Agudelo,"$ 3,846","$ 200,000",CF,28,Reserve,"Dec 31, 2021",1-yr,"$ 200,000",Minnesota United,Mls,2021
14,Jacori Hayes,"$ 3,077","$ 160,000",CM,25,Reserve,"Dec 31, 2021",1-yr,"$ 160,000",Minnesota United,Mls,2021
15,Brent Kallman,"$ 2,885","$ 150,000",CB,30,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Minnesota United,Mls,2021
16,Dayne St Clair,"$ 1,827","$ 95,000",GK,24,Starter,"Dec 31, 2021",1-yr,"$ 95,000",Minnesota United,Mls,2021
17,Foster Langsdorf,"$ 1,643","$ 85,444",CF,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Minnesota United,Mls,2021
18,Hassani Dotson,"$ 1,565","$ 81,375",CM,23,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Minnesota United,Mls,2021
19,Adrián Zendejas,"$ 1,565","$ 81,375",GK,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Minnesota United,Mls,2021
20,Callum Montgomery,"$ 1,565","$ 81,375",CB,24,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Minnesota United,Mls,2021
21,Chase Gasper,"$ 1,565","$ 81,375",LB,25,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Minnesota United,Mls,2021
22,Fred Emmings,"$ 1,283","$ 66,724",GK,17,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Minnesota United,Mls,2021
23,Patrick Weah,"$ 1,222","$ 63,547",RW,17,Reserve,"Dec 31, 2024",4-yrs,"$ 254,188",Minnesota United,Mls,2021
24,DJ Taylor,"$ 1,222","$ 63,547",RB,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Minnesota United,Mls,2021
25,Adrien Hunou,$ 0,$ 0,CF,27,Reserve,"Dec 31, 2021",1-yr,$ 0,Minnesota United,Mls,2021
26,Justin McMaster,$ 0,$ 0,RW,21,Reserve,"Dec 31, 2021",1-yr,$ 0,Minnesota United,Mls,2021
27,Nabi Kibunguchy,$ 0,$ 0,CB,23,Reserve,"Dec 31, 2021",1-yr,$ 0,Minnesota United,Mls,2021
28,Niko Hansen,$ 0,$ 0,RW,26,Reserve,"Dec 31, 2022",2-yrs,$ 0,Minnesota United,Mls,2021
29,Aziel Jackson,$ 0,$ 0,CM,19,Reserve,"Dec 31, 2022",2-yrs,$ 0,Minnesota United,Mls,2021
0,Victor Wanyama,"$ 46,154","$ 2,400,000",DM,29,Starter,"Dec 31, 2022",2-yrs,"$ 4,800,000",Montreal Impact,Mls,2021
1,Aljaz Struna,"$ 21,154","$ 1,100,000",CB,30,Starter,"Dec 31, 2022",2-yrs,"$ 2,200,000",Montreal Impact,Mls,2021
2,Björn Johnsen,"$ 17,308","$ 900,000",CF,29,Reserve,"Dec 31, 2022",2-yrs,"$ 1,800,000",Montreal Impact,Mls,2021
