"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"8248","Aurelien Scheidler","FRA","Dijon","Ligue 1","2020-2021","1486.82","22.58","22","FW","Finisher","341","3","11.86","88.14","Right","-2.72","-0.19","0.24","-3.17","0.06","","","","",""
"8249","Emiliano Rigoni","ARG","Sampdoria","Serie A","2019-2020","1589.41","26","27","MF,FW","Playmaker","431","4","68.93","31.07","Left","-2.72","0.01","1.19","-2.49","0.25","","","3500000","2290513",""
"8250","Michele Cremonesi","ITA","SPAL","Serie A","2017-2018","1554.81","29","32","DF","PossessionOrientedCentralDefender","385","4","71.33","28.67","Left","-2.72","-0.07","0.36","-2.44","0.08","","","","",""
"8251","Gabriel Fernandez","URU","Celta Vigo","La Liga","2019-2020","1668.71","25","26","FW,MF","Finisher","561","5","28.42","71.58","Right","-2.72","-0.11","0.83","-2.58","0.13","","","2400000","3014907",""
"8252","Moussa Kone","SEN","Nimes","Ligue 1","2020-2021","1462.15","24.01","24","FW,MF","Finisher","389","3","10.61","89.39","Right","-2.72","-0.05","0.83","-2.58","0.19","","","","",""
"8253","Armando Izzo","ITA","Torino","Serie A","2020-2021","1568.57","28.84","28","DF","PossessionOrientedCentralDefender","306","3","30","70","Right","-2.72","-0.05","0.35","-2.45","0.1","","","15000000","",""
"8254","Rade Krunic","BIH","Milan","Serie A","2020-2021","1807.73","27.24","27","MF","AttackingCentralProgressor","277","2","11.36","88.64","Right","-2.73","-0.03","0.42","-2.33","0.14","","","","",""
"8255","Franco Zuculini","ARG","Hellas Verona","Serie A","2017-2018","1454.89","26","30","MF","AttackingCentralProgressor","329","3","13.75","86.25","Right","-2.73","-0.05","0.42","-2.33","0.11","","","","",""
"8256","Cristian Battocchio","ITA","Brest","Ligue 1","2020-2021","1535.14","28.89","28","MF,FW","AttackingCentralProgressor","330","2","10.56","89.44","Right","-2.73","-0.05","0.42","-2.33","0.11","","","1700000","",""
"8257","Adam Lallana","ENG","Brighton","Premier League","2020-2021","1654.72","32.65","32","MF,FW","Dribbler","746","10","36.23","63.77","Right","-2.73","-0.09","1.33","-1.67","0.16","","","","",""
"8258","Niclas Eliasson","SWE","Nimes","Ligue 1","2020-2021","1462.15","25.07","25","FW,MF","Playmaker","709","8","80.95","19.05","Left","-2.73","-0.08","1.18","-2.51","0.15","","","","",""
"8259","Achraf Lazaar","MAR","Benevento","Serie A","2017-2018","1449.56","25","28","DF,MF","OffensiveWideProgressor","478","6","73.51","26.49","Left","-2.73","-0.05","0.73","-2.44","0.14","","","","",""
"8260","Cedric Soares","POR","Inter","Serie A","2018-2019","1730.07","26","29","DF","AttackingCentralProgressor","259","3","12.79","87.21","Right","-2.73","-0.02","0.41","-2.34","0.14","4257989","2761278","","",""
"8261","Daniele Gastaldello","ITA","Brescia","Serie A","2019-2020","1449.68","36","37","DF","LowBlockCentralDefender","389","4","30.08","69.92","Right","-2.74","-0.04","0.43","-2.01","0.1","","","","",""
"8262","Bernie Ibini-Isei","AUS","Vancouver","MLS","2018","","25","28","MF,FW","Dribbler","418","6","22.68","77.32","Right","-2.74","-0.14","0.46","-2.54","0.1","","","","","28258"
"8263","Jordan Nkololo","COD","Caen","Ligue 1","2017-2018","1479.19","24","28","MF,FW","Playmaker","423","4","17.54","82.46","Right","-2.74","0.02","1.17","-2.51","0.25","","","","",""
"8264","Raul Garcia","ESP","Leganes","La Liga","2018-2019","1667.23","29","31","DF","PossessionOrientedCentralDefender","381","4","92.77","7.23","Left","-2.74","-0.08","0.33","-2.46","0.08","","","","",""
"8265","Sabin Merino","ESP","Leganes","La Liga","2018-2019","1667.23","26","28","FW,MF","Finisher","295","2","12.16","87.84","Right","-2.74","0","0.81","-2.6","0.25","1367306","1423417","","",""
"8266","Julian Ryerson","NOR","Union Berlin","Bundesliga","2020-2021","1680.98","23.12","23","DF,MF","DefensiveWideProgressor","287","2","18.39","81.61","Right","-2.74","-0.1","0.2","-2.54","0.06","","","400000","",""
"8267","Stefano Okaka","ITA","Watford","Premier League","2017-2018","1622.38","27","31","FW,MF","Finisher","453","3","4.88","95.12","Right","-2.75","-0.08","0.81","-2.6","0.16","","","","",""
"8268","Jose Arnaiz","ESP","Osasuna","La Liga","2019-2020","1695.54","24","25","FW,MF","Finisher","791","8","15.54","84.46","Right","-2.75","-0.15","0.81","-2.6","0.09","","","","",""
"8269","Sandro Ramirez","ESP","Huesca","La Liga","2020-2021","1586.61","25.48","25","FW,MF","Finisher","416","5","14.14","85.86","Right","-2.75","-0.07","0.81","-2.6","0.17","","","","",""
"8270","Ashley Barnes","ENG","Burnley","Premier League","2020-2021","1708.72","31.17","31","FW","Finisher","784","9","16.91","83.09","Right","-2.75","-0.13","1.07","-2.34","0.12","","","8000000","",""
"8271","Benjamin Mendy","FRA","Manchester City","Premier League","2020-2021","1959.46","26.46","26","DF","OffensiveWideProgressor","504","6","95.15","4.85","Left","-2.75","-0.06","0.72","-2.45","0.13","","","28000000","",""
"8272","Quini","ESP","Granada","La Liga","2019-2020","1714.43","29","31","DF","OffensiveWideProgressor","718","8","29.17","70.83","Right","-2.75","-0.09","0.72","-2.46","0.09","","","400000","4671004",""
"8273","Robert Skov","DEN","Hoffenheim","Bundesliga","2020-2021","1751.72","24.62","24","DF,FW","Playmaker","563","5","90.61","9.39","Left","-2.75","-0.05","1.16","-2.52","0.19","","","14000000","",""
"8274","Ladislav Krejci","CZE","Bologna","Serie A","2017-2018","1546.53","25","28","FW,DF","Dribbler","397","2","88.03","11.97","Left","-2.75","-0.14","0.44","-2.56","0.1","","","","",""
"8275","Stefano Sturaro","ITA","Genoa","Serie A","2020-2021","1540.76","27.82","27","MF","AttackingCentralProgressor","445","6","18.47","81.53","Right","-2.75","-0.09","0.39","-2.35","0.08","","","6000000","",""
"8276","Djibril Sidibe","FRA","Monaco","Ligue 1","2020-2021","1591.53","28.43","28","DF","OffensiveWideProgressor","419","4","23","77","Right","-2.75","-0.03","0.71","-2.46","0.15","","","","",""
"8277","Robbie Brady","IRL","Burnley","Premier League","2018-2019","1681.7","26","28","MF,FW","Playmaker","720","6","81.68","18.32","Left","-2.76","-0.09","1.16","-2.53","0.14","2401181","3386925","4800000","",""
"8278","Ryad Boudebouz","ALG","Saint-Etienne","Ligue 1","2020-2021","1522.23","30.87","30","MF,FW","Playmaker","361","4","81.78","18.22","Left","-2.76","0","0.95","-2.73","0.24","","","","",""
"8279","Andrea Favilli","ITA","Hellas Verona","Serie A","2020-2021","1597.7","23.63","23","FW","Finisher","270","2","74.51","25.49","Left","-2.76","0.02","0.8","-2.61","0.27","","","","",""
"8280","Nathaniel Phillips","ENG","Liverpool","Premier League","2020-2021","1965.28","23.78","23","DF","PossessionOrientedCentralDefender","270","3","7.85","92.15","Right","-2.76","-0.05","0.31","-2.48","0.1","","","","",""
"8281","Felipe Caicedo","ECU","Lazio","Serie A","2020-2021","1733.08","32.32","32","FW","Finisher","453","4","74.78","25.22","Left","-2.76","-0.04","1.05","-2.35","0.21","","","5000000","",""
"8282","Valentin Rongier","FRA","Nantes","Ligue 1","2019-2020","1569.26","24","26","MF","AttackingCentralProgressor","270","3","16.67","83.33","Right","-2.76","-0.04","0.38","-2.36","0.13","1082310","1106659","16000000","10863467",""
"8283","DeAndre Yedlin","USA","Newcastle Utd","Premier League","2020-2021","1689.12","27.48","27","DF","DefensiveWideProgressor","275","3","3.75","96.25","Right","-2.76","-0.1","0.18","-2.55","0.06","","","6500000","",""
"8284","Adam Ounas","ALG","Cagliari","Serie A","2020-2021","1590.49","24.14","24","MF,FW","Playmaker","297","3","88.89","11.11","Left","-2.76","0.11","1.15","-2.54","0.35","","","","",""
"8285","Son","ESP","Levante","La Liga","2020-2021","1699.11","26.76","26","DF,MF","OffensiveWideProgressor","436","4","14.21","85.79","Right","-2.76","-0.04","0.7","-2.47","0.14","","","","",""
"8286","Gerard Deulofeu","ESP","Udinese","Serie A","2020-2021","1592.02","26.81","26","FW,MF","Finisher","278","3","12.82","87.18","Right","-2.76","0.01","0.79","-2.62","0.26","","","","",""
"8287","Nolito","ESP","Celta Vigo","La Liga","2019-2020","1668.71","32","34","FW,MF","Playmaker","324","1","5.7","94.3","Right","-2.77","0.02","0.95","-2.74","0.26","","","1500000","1839398",""
"8288","Moises Delgado","ESP","Valladolid","La Liga","2018-2019","1613.73","24","26","DF","DefensiveWideProgressor","270","3","84.81","15.19","Left","-2.77","-0.1","0.17","-2.56","0.06","523625","1004230","","",""
"8289","Jay Chapman","CAN","Toronto FC","MLS","2019","","25","26","MF,FW","Playmaker","529","5","22.85","77.15","Right","-2.77","-0.04","1.14","-2.54","0.19","138500","180087","","","70030"
"8290","Takumi Minamino","JPN","Liverpool","Premier League","2020-2021","1965.28","25.96","25","MF,FW","Dribbler","286","2","15.75","84.25","Right","-2.77","-0.11","0.43","-2.57","0.13","","","","",""
"8291","Andre Gomes","POR","Everton","Premier League","2020-2021","1768.54","27.42","27","MF","AttackingCentralProgressor","523","5","37.29","62.71","Right","-2.77","-0.1","0.38","-2.37","0.06","","","22500000","",""
"8292","Fode Ballo-Toure","FRA","Monaco","Ligue 1","2020-2021","1591.53","24","23","DF","OffensiveWideProgressor","478","5","91.83","8.17","Left","-2.77","-0.05","0.7","-2.48","0.13","","","6500000","",""
"8293","Jason","ESP","Valencia","La Liga","2020-2021","1704.95","26.49","26","MF,DF","Dribbler","407","4","11.11","88.89","Right","-2.77","-0.15","0.42","-2.58","0.09","","","","",""
"8294","Guillermo Maripan","CHI","Monaco","Ligue 1","2020-2021","1591.53","26.66","26","DF","PossessionOrientedCentralDefender","362","3","9.18","90.82","Right","-2.78","-0.08","0.3","-2.5","0.07","","","11000000","",""
"8295","Luuk de Jong","NED","Sevilla","La Liga","2020-2021","1843.53","30.35","30","FW","Finisher","599","6","20.93","79.07","Right","-2.78","-0.09","1.04","-2.37","0.16","","","12000000","",""
"8296","Nolan Roux","FRA","Nimes","Ligue 1","2019-2020","1536.28","31","32","FW","Finisher","584","7","1.72","98.28","Right","-2.78","-0.09","1.04","-2.37","0.16","","","","",""
"8297","Callum Hudson-Odoi","ENG","Chelsea","Premier League","2020-2021","1847.73","20.15","20","FW","Playmaker","306","2","16.48","83.52","Right","-2.78","0.05","0.92","-2.76","0.27","","","31500000","",""
"8298","Aleksandar Tonev","BUL","Crotone","Serie A","2017-2018","1542.79","27","30","FW,MF","Dribbler","401","5","22.55","77.45","Right","-2.78","-0.15","0.41","-2.59","0.09","","","","",""
"8299","Eric Bailly","CIV","Manchester Utd","Premier League","2020-2021","1869.6","26.72","26","DF","PossessionOrientedCentralDefender","278","3","13.57","86.43","Right","-2.78","-0.06","0.29","-2.5","0.1","","","","",""
"8300","Mehdi Leris","FRA","Sampdoria","Serie A","2019-2020","1589.41","21","22","MF,FW","Playmaker","509","3","14.01","85.99","Right","-2.78","-0.06","0.92","-2.76","0.16","","","2300000","6096722",""
"8301","Gaston Ramirez","URU","Sampdoria","Serie A","2020-2021","1610.87","30.08","30","FW,MF","Playmaker","552","6","90.98","9.02","Left","-2.78","-0.09","0.93","-2.76","0.15","","","6000000","",""
"8302","Frederic Sammaritano","FRA","Dijon","Ligue 1","2019-2020","1519.01","33","34","MF,FW","Playmaker","518","6","17.94","82.06","Right","-2.78","-0.08","0.93","-2.76","0.16","333627","1255913","325000","818128",""
"8303","James Rodriguez","COL","Real Madrid","La Liga","2019-2020","1921.36","28","29","MF","Playmaker","419","5","95.89","4.11","Left","-2.78","0.01","1.13","-2.56","0.24","","","32000000","24577280",""
"8304","Matias Nahuel","ESP","Betis","La Liga","2017-2018","1723.9","20","24","FW,MF","Dribbler","252","3","17.8","82.2","Right","-2.79","-0.14","0.27","-2.73","0.1","","","","",""
"8305","Shon Weissman","ISR","Valladolid","La Liga","2020-2021","1640.65","24.88","24","FW","Finisher","628","7","14.81","85.19","Right","-2.79","-0.13","0.77","-2.64","0.11","","","","",""
"8306","Ragnar Klavan","EST","Cagliari","Serie A","2020-2021","1590.49","35.17","35","DF","LowBlockCentralDefender","424","5","84.9","15.1","Left","-2.79","-0.06","0.37","-2.06","0.08","","","1000000","",""
"8307","Alfred Finnbogason","ISL","Augsburg","Bundesliga","2020-2021","1636.79","31.92","31","FW","Finisher","331","2","27.96","72.04","Right","-2.79","0.03","1.03","-2.38","0.28","","","","",""
"8308","Chema","ESP","Getafe","La Liga","2019-2020","1744.55","27","28","DF","PossessionOrientedCentralDefender","309","3","90.32","9.68","Left","-2.79","-0.07","0.28","-2.51","0.08","","","1000000","2271903",""
"8309","Milot Rashica","KVX","Werder Bremen","Bundesliga","2020-2021","1654.08","24.51","24","FW,MF","Dribbler","278","3","28.3","71.7","Right","-2.79","-0.11","0.4","-2.6","0.13","","","22000000","",""
"8310","Moussa Doumbia","MLI","Reims","Ligue 1","2020-2021","1579.74","26.38","26","MF,FW","Dribbler","277","2","12.8","87.2","Right","-2.79","-0.11","0.4","-2.6","0.13","","","2000000","",""
"8311","Marvin Zeegelaar","NED","Udinese","Serie A","2020-2021","1592.02","30.39","30","DF","OffensiveWideProgressor","702","9","73.88","26.12","Left","-2.79","-0.07","0.87","-2.3","0.11","","","1200000","",""
"8312","Diego Rolan","URU","Alaves","La Liga","2018-2019","1679.75","25","27","FW,MF","Dribbler","298","3","10.84","89.16","Right","-2.79","-0.12","0.4","-2.6","0.12","1229332","1038355","","",""
"8313","Gaston Pereiro","URU","Cagliari","Serie A","2019-2020","1585.66","24","25","MF,FW","Finisher","348","4","86.29","13.71","Left","-2.8","-0.05","0.76","-2.65","0.2","","","6500000","6290487",""
"8314","Roger Assale","CIV","Dijon","Ligue 1","2020-2021","1486.82","27.13","27","FW,MF","Dribbler","362","5","16.46","83.54","Right","-2.8","-0.14","0.4","-2.6","0.1","","","","",""
"8315","Iago Falque","ESP","Genoa","Serie A","2019-2020","1536.21","29","30","MF","Playmaker","519","6","88.1","11.9","Left","-2.8","-0.04","1.11","-2.57","0.19","","","6000000","4147119",""
"8316","Matt Phillips","SCO","West Brom","Premier League","2020-2021","1561.08","29.81","29","MF,DF","OffensiveWideProgressor","568","6","9.78","90.22","Right","-2.8","-0.08","0.67","-2.51","0.11","","","","",""
"8317","Brown Ideye","NGA","Malaga","La Liga","2017-2018","1580.85","28","32","FW","Finisher","736","8","13.49","86.51","Right","-2.8","-0.15","0.75","-2.66","0.09","","","","",""
"8318","Luis Gil","USA","Houston","MLS","2018","","24","27","MF,FW","AttackingCentralProgressor","279","3","16.35","83.65","Right","-2.8","-0.06","0.34","-2.4","0.11","67500","131420","","","20886"
"8319","Ahmad Benali","LBY","Crotone","Serie A","2020-2021","1504.58","28.9","28","MF","OffensiveWideProgressor","395","5","23.25","76.75","Right","-2.8","-0.03","0.66","-2.51","0.15","","","","",""
"8320","Antonio Barragan","ESP","Betis","La Liga","2019-2020","1666.35","32","33","DF","OffensiveWideProgressor","641","7","12.53","87.47","Right","-2.8","-0.06","0.86","-2.31","0.12","","","1000000","2525291",""
"8321","Baptiste Santamaria","FRA","Angers","Ligue 1","2020-2021","1571.94","25.82","25","MF","AttackingCentralProgressor","270","3","3.97","96.03","Right","-2.8","-0.05","0.34","-2.41","0.11","","","7000000","",""
"8322","Rajiv van La Parra","NED","Huddersfield","Premier League","2018-2019","1522.12","27","29","MF,FW","Dribbler","405","5","11.21","88.79","Right","-2.8","-0.15","0.39","-2.61","0.09","","","","",""
"8323","Leonardo Pavoletti","ITA","Cagliari","Serie A","2020-2021","1590.49","32.1","32","FW","Finisher","379","4","23.94","76.06","Right","-2.81","-0.01","1.01","-2.4","0.24","","","","",""
"8324","Yoric Ravet","FRA","Freiburg","Bundesliga","2017-2018","1572.85","27","31","MF,FW","Playmaker","498","5","17.61","82.39","Right","-2.81","-0.03","1.1","-2.58","0.2","","","","",""
"8325","Michael Krohn-Dehli","DEN","Sevilla","La Liga","2017-2018","1762.39","34","37","MF,FW","Playmaker","540","5","9.07","90.93","Right","-2.81","-0.09","0.9","-2.78","0.15","","","","",""
"8326","Ryan Fredericks","ENG","West Ham","Premier League","2020-2021","1731.03","28.23","28","DF","OffensiveWideProgressor","319","4","6.15","93.85","Right","-2.81","0","0.66","-2.52","0.18","","","4000000","",""
"8327","Suk Hyun-jun","KOR","Reims","Ligue 1","2019-2020","1605.37","28","29","FW,MF","Finisher","262","1","7.69","92.31","Right","-2.81","0.01","0.74","-2.66","0.26","","","","",""
"8328","Ishak Belfodil","ALG","Hoffenheim","Bundesliga","2019-2020","1729.86","27","28","FW,MF","Finisher","269","3","12.5","87.5","Right","-2.81","0","0.74","-2.67","0.25","1696410","1725546","7500000","7134444",""
"8329","Donny van de Beek","NED","Manchester Utd","Premier League","2020-2021","1869.6","23.71","23","MF,FW","Dribbler","257","2","8.27","91.73","Right","-2.81","-0.11","0.38","-2.62","0.13","","","","",""
"8330","Alan Gordon","USA","Chicago","MLS","2018","","36","39","FW","Finisher","835","7","30.21","69.79","Right","-2.81","-0.11","1.3","-2.1","0.14","155000","648869","","","79858"
"8331","Issa Diop","FRA","West Ham","Premier League","2020-2021","1731.03","23.98","23","DF","PossessionOrientedCentralDefender","298","3","8.92","91.08","Right","-2.81","-0.08","0.26","-2.54","0.08","","","28000000","",""
"8332","Gael Kakuta","COD","Rayo Vallecano","La Liga","2018-2019","1581.15","27","29","MF,FW","Playmaker","717","9","89.58","10.42","Left","-2.82","-0.1","1.1","-2.59","0.14","1282486","1463258","","",""
"8333","Aron Johannsson","USA","Werder Bremen","Bundesliga","2017-2018","1653.94","26","30","MF,FW","Playmaker","276","2","22.99","77.01","Right","-2.82","0.12","1.1","-2.59","0.36","","","","",""
"8334","Theo Pellenard","FRA","Angers","Ligue 1","2019-2020","1568.74","25","26","DF","OffensiveWideProgressor","455","4","80.8","19.2","Left","-2.82","-0.06","0.65","-2.52","0.13","610708","1118696","1200000","1730203",""
"8335","Lois Diony","FRA","Angers","Ligue 1","2020-2021","1571.94","28.03","28","FW","Finisher","487","4","19.42","80.58","Right","-2.82","-0.11","0.74","-2.67","0.14","","","","",""
"8336","Juanpi","VEN","Malaga","La Liga","2017-2018","1580.85","23","26","MF,FW","Playmaker","615","5","85.85","14.15","Left","-2.82","-0.09","0.88","-2.8","0.13","","","","",""
"8337","Ademola Lookman","ENG","RB Leipzig","Bundesliga","2019-2020","1844.66","21","23","MF,FW","Playmaker","309","1","19.15","80.85","Right","-2.82","0.04","0.88","-2.8","0.26","","","10000000","15247413",""
"8338","Fede Vico","ESP","Granada","La Liga","2019-2020","1714.43","25","26","MF,FW","Playmaker","876","11","92.14","7.86","Left","-2.82","-0.12","1.09","-2.59","0.11","","","1000000","3277340",""
"8339","Rui Fonte","POR","Lille","Ligue 1","2018-2019","1672.55","28","30","FW","Finisher","627","5","11.84","88.16","Right","-2.82","-0.14","0.73","-2.68","0.11","917192","1074943","","",""
"8340","Andre Hahn","GER","Augsburg","Bundesliga","2020-2021","1636.79","30.39","30","FW,MF","Finisher","523","7","16.67","83.33","Right","-2.82","-0.08","0.99","-2.42","0.17","","","1000000","",""
"8341","Pedro Lopez Munoz","ESP","Levante","La Liga","2018-2019","1682.22","34","37","DF","OffensiveWideProgressor","465","4","4.23","95.77","Right","-2.82","-0.02","0.84","-2.33","0.16","","","","",""
"8342","Rod Fanni","FRA","Montreal","MLS","2019","","37","39","DF","LowBlockCentralDefender","270","3","2.46","97.54","Right","-2.83","-0.03","0.34","-2.1","0.11","299250","311107","100000","","20886"
"8343","Wahbi Khazri","TUN","Saint-Etienne","Ligue 1","2020-2021","1522.23","29.9","29","FW","Playmaker","349","4","6.72","93.28","Right","-2.83","0.05","1.08","-2.6","0.28","","","","",""
"8344","Mattia De Sciglio","ITA","Lyon","Ligue 1","2020-2021","1741.92","28.2","28","DF","OffensiveWideProgressor","255","2","22.45","77.55","Right","-2.83","0.04","0.64","-2.54","0.22","","","","",""
"8345","Yunus Malli","TUR","Union Berlin","Bundesliga","2019-2020","1600.27","27","28","FW,MF","Finisher","673","9","11.29","88.71","Right","-2.83","-0.15","0.72","-2.68","0.1","","","","",""
"8346","Jony","ESP","Osasuna","La Liga","2020-2021","1643.46","29.48","29","MF,FW","Playmaker","453","5","86.19","13.81","Left","-2.83","-0.02","1.08","-2.6","0.22","","","","",""
"8347","Lionel Carole","FRA","Sevilla","La Liga","2017-2018","1762.39","26","29","DF","OffensiveWideProgressor","540","6","90.81","9.19","Left","-2.83","-0.08","0.63","-2.54","0.11","","","","",""
"8348","Andrew Wooten","USA","Philadelphia","MLS","2019","","29","31","FW","Finisher","352","4","24.14","75.86","Right","-2.83","-0.06","0.72","-2.69","0.18","595833","346087","750000","","44229"
"8349","Jairo Izquierdo","ESP","Cadiz","La Liga","2020-2021","1584.88","27.19","27","MF,DF","Dribbler","454","4","89.55","10.45","Left","-2.84","-0.17","0.36","-2.64","0.07","","","","",""
"8350","Aritz Aduriz","ESP","Athletic Club","La Liga","2018-2019","1718.35","37","39","FW","Finisher","943","10","16.33","83.67","Right","-2.84","-0.13","1.28","-2.13","0.12","1802718","1170381","","",""
"8351","Ola Kamara","NOR","D.C. United","MLS","2019","","29","31","FW","Finisher","256","3","14.04","85.96","Right","-2.84","0.01","0.71","-2.7","0.25","260000","377630","1800000","","43615"
"8352","Lukas Rupp","GER","Hoffenheim","Bundesliga","2019-2020","1729.86","28","29","MF,FW","AttackingCentralProgressor","340","4","15.54","84.46","Right","-2.84","-0.09","0.3","-2.45","0.08","2261880","2637486","2400000","3624210",""
"8353","Eduardo Sosa","VEN","Columbus","MLS","2018","","20","23","MF,FW","Playmaker","391","3","16.67","83.33","Right","-2.85","-0.02","0.86","-2.83","0.2","120200","250132","","","52829"
"8354","Will Bruin","USA","Seattle","MLS","2019","","29","31","FW","Finisher","429","4","14.63","85.37","Right","-2.85","-0.1","0.7","-2.7","0.15","358333","235151","500000","","43001"
"8355","Maximilian Philipp","GER","Wolfsburg","Bundesliga","2020-2021","1760.6","26.84","26","MF","Finisher","479","6","23.42","76.58","Right","-2.85","-0.11","0.7","-2.7","0.13","","","","",""
"8356","Morgan Amalfitano","FRA","Rennes","Ligue 1","2017-2018","1639.7","32","35","MF","Playmaker","747","10","9.02","90.98","Right","-2.85","-0.14","0.86","-2.82","0.1","","","","",""
"8357","Guido Carrillo","ARG","Southampton","Premier League","2017-2018","1649.49","26","29","FW","Finisher","450","5","5.8","94.2","Right","-2.85","-0.1","0.7","-2.71","0.14","","","","",""
"8358","Alexander Kacaniklic","SWE","Nantes","Ligue 1","2017-2018","1576.06","25","29","MF,FW","Dribbler","316","3","71.76","28.24","Left","-2.85","-0.14","0.34","-2.66","0.1","","","","",""
"8359","Matej Vydra","CZE","Burnley","Premier League","2018-2019","1681.7","26","28","FW,MF","Finisher","318","3","22.22","77.78","Right","-2.85","-0.05","0.7","-2.71","0.2","2401181","4033845","","",""
"8360","Jerome Gondorf","GER","Werder Bremen","Bundesliga","2017-2018","1653.94","29","32","MF,FW","Playmaker","797","7","20.96","79.04","Right","-2.86","-0.12","1.05","-2.63","0.12","","","","",""
"8361","Pedro Obiang","EQG","Sassuolo","Serie A","2020-2021","1683.34","28.77","28","MF","AttackingCentralProgressor","408","4","15.81","84.19","Right","-2.86","-0.1","0.29","-2.46","0.06","","","5500000","",""
"8362","Daley Blind","NED","Manchester Utd","Premier League","2017-2018","1880.94","27","30","DF,MF","OffensiveWideProgressor","362","4","88.61","11.39","Left","-2.86","-0.03","0.61","-2.57","0.15","","","","",""
"8363","Josh Benson","ENG","Burnley","Premier League","2020-2021","1708.72","21.07","21","MF","Dribbler","254","2","2.74","97.26","Right","-2.86","-0.17","0.2","-2.8","0.07","","","","",""
"8364","Thomas McNamara","USA","NYCFC","MLS","2018","","26","29","MF,FW","AttackingCentralProgressor","371","4","26.71","73.29","Right","-2.86","-0.1","0.28","-2.46","0.07","200000","126875","","","17201"
"8365","Juan Carlos","ESP","Huesca","La Liga","2020-2021","1586.61","29.8","29","MF,FW","Dribbler","251","3","6.58","93.42","Right","-2.86","-0.12","0.33","-2.67","0.12","","","","",""
"8366","Alessandro Schopf","AUT","Schalke 04","Bundesliga","2020-2021","1573.13","26.9","26","FW,MF","AttackingCentralProgressor","434","4","37.5","62.5","Right","-2.86","-0.11","0.28","-2.47","0.06","","","3500000","",""
"8367","Jaime Mata","ESP","Getafe","La Liga","2020-2021","1704.88","32.19","32","FW","Finisher","657","8","13.89","86.11","Right","-2.87","-0.12","0.95","-2.46","0.13","","","6000000","",""
"8368","Mark Uth","GER","Schalke 04","Bundesliga","2019-2020","1608.03","27","29","FW,MF","Finisher","353","4","90.29","9.71","Left","-2.87","-0.07","0.69","-2.72","0.17","4523760","3023740","7500000","6385803",""
"8369","Oscar de Marcos","ESP","Athletic Club","La Liga","2019-2020","1720.37","30","31","DF,FW","OffensiveWideProgressor","541","6","7.78","92.22","Right","-2.87","-0.08","0.6","-2.58","0.1","2812648","2707127","2500000","3209993",""
"8370","Ignasi Miquel","ESP","Getafe","La Liga","2018-2019","1757.47","25","28","DF","PossessionOrientedCentralDefender","316","4","79.45","20.55","Left","-2.87","-0.1","0.2","-2.6","0.06","843681","918016","","",""
"8371","Alireza Jahanbakhsh","IRN","Brighton","Premier League","2019-2020","1658.11","25","27","FW,MF","Dribbler","311","3","12.12","87.88","Right","-2.87","-0.15","0.32","-2.68","0.09","3430258","3463600","6500000","4742497",""
"8372","Marcelo","BRA","Real Madrid","La Liga","2020-2021","1901.67","32.64","32","DF","OffensiveWideProgressor","518","6","91.3","8.7","Left","-2.87","-0.05","0.79","-2.38","0.14","","","12000000","",""
"8373","Jordan Lukaku","BEL","Lazio","Serie A","2019-2020","1735.73","25","26","DF","OffensiveWideProgressor","396","1","72.54","27.46","Left","-2.87","-0.05","0.59","-2.58","0.13","","","4000000","4818513",""
"8374","Maxime Lestienne","BEL","Malaga","La Liga","2017-2018","1580.85","25","28","MF,FW","Playmaker","667","8","85.33","14.67","Left","-2.88","-0.09","1.03","-2.65","0.14","","","","",""
"8375","Simon Kjaer","DEN","Atalanta","Serie A","2019-2020","1844.2","30","31","DF","PossessionOrientedCentralDefender","292","3","12.69","87.31","Right","-2.88","-0.09","0.2","-2.6","0.06","","","","",""
"8376","Antonio Valencia","ECU","Manchester Utd","Premier League","2018-2019","1838.16","32","35","DF,MF","OffensiveWideProgressor","466","5","3.73","96.27","Right","-2.88","-0.03","0.79","-2.38","0.15","5831439","3700584","","",""
"8377","Chaouki Ben Saada","TUN","Troyes","Ligue 1","2017-2018","1461.59","33","36","FW,MF","Playmaker","341","2","82.97","17.03","Left","-2.88","-0.02","0.83","-2.85","0.22","","","","",""
"8378","Andreas Ivan","ROU","NY Red Bulls","MLS","2019","","24","25","FW,MF","Playmaker","490","5","34.25","65.75","Right","-2.88","-0.05","1.03","-2.65","0.19","","","","","63272"
"8379","Zoltan Stieber","HUN","D.C. United","MLS","2019","","30","32","FW,MF","AttackingCentralProgressor","305","3","87.59","12.41","Left","-2.88","-0.09","0.26","-2.49","0.08","","","","","15972"
"8380","David Brooks","WAL","Bournemouth","Premier League","2019-2020","1633.84","22","23","MF","Playmaker","506","8","75","25","Left","-2.89","-0.08","0.82","-2.87","0.15","1372103","1836715","20000000","12765312",""
"8381","Enric Gallego","ESP","Osasuna","La Liga","2020-2021","1643.46","34.3","34","FW","Finisher","571","6","84.38","15.62","Left","-2.89","-0.1","0.93","-2.48","0.15","","","2000000","",""
